probe,gene,chr,s1,s2
1007_s_at,DDR1,chr6,30856165,30867931
1053_at,RFC2,chr7,73646002,73668732
117_at,HSPA6,chr1,161494448,161496380
121_at,PAX8,chr2,113974939,114036488
1255_g_at,GUCA1A,chr6,42140941,42147792
1294_at,UBA7,chr3,49842639,49851423
1316_at,THRA,chr17,38219155,38246289
1320_at,PTPN21,chr14,88934480,89016761
1405_i_at,CCL5,chr17,34198526,34207330
1431_at,CYP2E1,chr10,135340899,135352468
1438_at,EPHB3,chr3,184280023,184299410
1487_at,ESRRA,chr11,64073043,64084210
1494_f_at,CYP2A6,chr19,41349446,41356339
1598_g_at,GAS6,chr13,114523546,114567030
160020_at,MMP14,chr14,23305807,23316802
1729_at,TRADD,chr16,67188103,67193780
177_at,PLD1,chr3,171320592,171528244
1773_at,CHURC1-FNTB,chr14,65453653,65528278
179_at,DTX2P1-UPK3BP1-PMS2P11,chr7,76610265,76645172
1861_at,BAD,chr11,64037301,64051883
200000_s_at,PRPF8,chr17,1553923,1588100
200001_at,CAPNS1,chr19,36630916,36641255
200002_at,RPL35,chr9,127620162,127624207
200003_s_at,RPL28,chr19,55897314,55899740
200004_at,EIF4G2,chr11,10818601,10830471
200005_at,EIF3D,chr22,36906902,36925183
200006_at,PARK7,chr1,8022839,8045342
200007_at,SRP14,chr15,40328242,40331336
200008_s_at,GDI2,chr10,5807948,5855215
200009_at,GDI2,chr10,5807185,5855373
200010_at,RPL11,chr1,24019097,24022913
200011_s_at,ARF3,chr12,49329991,49351310
200012_x_at,RPL21,chr11,9681951,9682503
200013_at,RPL24,chr9,72832075,72832622
200014_s_at,HNRNPC,chr14,21678714,21737507
200015_s_at,SEPT2,chr2,242254784,242293439
200016_x_at,HNRNPA1,chr12,54674487,54679030
200017_at,RPS27A,chr1,192685274,192685813
200018_at,RPS13,chr1,53237826,53238346
200019_s_at,FAU,chr11,64888102,64889609
200020_at,TARDBP,chr1,11072728,11084101
200021_at,CFL1,chr11,65622307,65625621
200022_at,RPL18,chr19,49118588,49121135
200023_s_at,EIF3F,chr11,8008893,8017711
200024_at,RPS5,chr19,58898670,58906170
200025_s_at,RPL27,chr17,41150759,41154969
200026_at,RPL34,chr4,109543104,109546385
200027_at,NARS,chr18,55267895,55289013
200028_s_at,STARD7,chr2,96850604,96874508
200029_at,RPL19,chr17,37356570,37360980
200030_s_at,SLC25A3,chr12,98987474,98995485
200031_s_at,RPS11,chr12,133402276,133402823
200032_s_at,RPL9,chr15,82664414,82665118
200033_at,DDX5,chr17,62495739,62502407
200034_s_at,RPL6,chr4,66439157,66440079
200035_at,CTDNEP1,chr3,113604115,113605474
200036_s_at,RPL10A,chr6,35436196,35438558
200037_s_at,CBX3,chr7,26241400,26252967
200038_s_at,C18orf32,chr18,47014859,47018079
200039_s_at,PSMB2,chr1,36068740,36107063
200040_at,KHDRBS1,chr1,32479490,32509472
200041_s_at,ATP6V1G2-DDX39B,chr6,31498022,31509756
200042_at,RTCB,chr22,32783566,32808218
200043_at,ERH,chr14,69846845,69865021
200044_at,SRSF9,chr12,120899470,120907464
200045_at,ABCF1,chr6,30539176,30559088
200046_at,DAD1,chr14,23033806,23058129
200047_s_at,YY1,chr14,100705101,100744804
200048_s_at,JTB,chr1,153946987,153950160
200049_at,KAT7,chr17,47866154,47906456
200050_at,ZNF146,chr19,36719647,36729666
200051_at,SART1,chr11,65729213,65746565
200052_s_at,ILF2,chr1,153634520,153643437
200053_at,SPAG7,chr17,4862522,4871108
200054_at,ZPR1,chr11,116649276,116658726
200055_at,TAF10,chr11,6632072,6633437
200056_s_at,C1D,chr2,68269339,68290121
200057_s_at,NONO,chrX,70503501,70521016
200058_s_at,SNRNP200,chr2,96940474,96947651
200059_s_at,RHOA,chr3,49396929,49449362
200060_s_at,RNPS1,chr4,11370249,11375356
200061_s_at,RPS24,chr10,79795108,79800454
200062_s_at,RPL30,chr8,99053953,99057752
200063_s_at,NPM1,chr5,170814865,170837887
200064_at,HSP90AB1,chr4,88813270,88815273
200065_s_at,ARF1,chr1,228270428,228286824
200066_at,IK,chr5,140027383,140042064
200067_x_at,SNX3,chr6,108532425,108582464
200068_s_at,CANX,chr5,179126011,179157652
200069_at,SART3,chr12,108915992,108954940
200070_at,CNPPD1,chr2,220036619,220041638
200071_at,SMNDC1,chr10,112052507,112064697
200072_s_at,HNRNPM,chr19,8509650,8553885
200073_s_at,HNRNPD,chr4,83275123,83294767
200074_s_at,RPL14,chr12,63359099,63359795
200075_s_at,GUK1,chr1,228327990,228336644
200076_s_at,KXD1,chr19,18668603,18680184
200077_s_at,OAZ1,chr19,2269537,2273302
200078_s_at,ATP6V0B,chr1,44440647,44443966
200079_s_at,KARS,chr16,75661792,75681563
200080_s_at,H3F3A,chr1,226250427,226259702
200081_s_at,RPS6,chr9,19200301,19379609
200082_s_at,RPS7,chr2,3622908,3628502
200083_at,USP22,chr17,20902905,20946352
200084_at,C11orf58,chr11,16760193,16777566
200085_s_at,TCEB2,chr16,2821415,2827281
200086_s_at,COX4I1,chr16,85833330,85840605
200087_s_at,TMED2,chr12,124074913,124083128
200088_x_at,NBEAL1,chr2,204045678,204056058
200089_s_at,RPL4,chr15,66791655,66797176
200090_at,FNTA,chr8,42919278,42940931
200091_s_at,RPS25,chr11,118886429,118889326
200092_s_at,RPL37,chr5,40832569,40835312
200093_s_at,HINT1,chr5,130494980,130500993
200094_s_at,EEF2,chr19,3976054,3976742
200095_x_at,RPS10,chr11,46450152,46450478
200096_s_at,ATP6V0E1,chr5,172410783,172461897
200097_s_at,HNRNPK,chr9,86583208,86595530
200098_s_at,ANAPC5,chr12,121746049,121785686
200099_s_at,RPS3A,chr10,86320198,86321019
200593_s_at,HNRNPU,chr1,245017707,245027760
200594_x_at,HNRNPU,chr1,245016989,245027651
200595_s_at,EIF3A,chr10,120794556,120840301
200596_s_at,EIF3A,chr10,120793185,120840332
200597_at,EIF3A,chr10,120793185,120840332
200598_s_at,HSP90B1,chr12,104324159,104341704
200599_s_at,HSP90B1,chr12,104324188,104341703
200600_at,MSN,chrX,64887615,64961792
200601_at,ACTN4,chr19,39138080,39220730
200602_at,APP,chr21,27252861,27543085
200603_at,PRKAR1A,chr17,66508579,66529568
200604_s_at,PRKAR1A,chr17,66508593,66526805
200605_s_at,PRKAR1A,chr17,66508608,66528398
200606_at,DSP,chr6,7541869,7586804
200607_s_at,RAD21,chr8,117858172,117887040
200608_s_at,RAD21,chr8,117858173,117887001
200609_s_at,WDR1,chr4,10076104,10118484
200610_s_at,NCL,chr2,232319618,232329175
200611_s_at,WDR1,chr4,10076774,10118484
200612_s_at,AP2B1,chr17,33914292,34053428
200613_at,AP2M1,chr3,183894736,183901878
200614_at,CLTC,chr17,57697320,57772124
200615_s_at,AP2B1,chr17,33914292,34053428
200616_s_at,MLEC,chr12,121124977,121134443
200617_at,MLEC,chr12,121124971,121139661
200618_at,LASP1,chr17,37026367,37078015
200619_at,SF3B2,chr11,65819877,65836369
200620_at,TMEM59,chr1,54497689,54518874
200621_at,CSRP1,chr1,201452659,201476250
